TIME (year.decimal),Greenland mass (Gigatonnes),Greenland mass 1-sigma uncertainty (Gigatonnes)
2002.29,0.0,134.71
2002.35,64.83,70.85
2002.62,-214.0,53.55
2002.71,-230.27,65.24
2002.79,-198.88,39.23
2002.87,-200.99,35.96
2002.96,-179.7,36.9
2003.04,-131.91,41.64
2003.12,-143.67,29.91
2003.2,-77.66,26.07
2003.29,-31.92,25.91
2003.36,-27.48,28.36
2003.54,-203.86,21.35
2003.62,-339.04,22.11
2003.71,-381.64,22.42
2003.79,-378.61,22.85
2003.87,-381.55,22.59
2003.96,-343.17,22.43
2004.02,-365.41,26.06
2004.13,-370.4,22.62
2004.21,-349.4,21.16
2004.29,-292.79,21.2
2004.37,-310.54,21.45
2004.46,-327.07,21.32
2004.54,-424.78,19.19
2004.62,-547.56,19.97
2004.71,-587.84,20.94
2004.79,-605.55,18.9
2004.87,-565.37,20.65
2004.96,-541.61,20.66
2005.04,-553.59,19.66
2005.12,-531.6,20.57
2005.2,-485.04,20.63
2005.29,-479.49,20.45
2005.37,-445.43,20.67
2005.46,-488.41,21.02
2005.54,-615.01,20.2
2005.62,-802.38,19.98
2005.71,-868.17,19.83
2005.79,-862.19,19.61
2005.87,-859.66,19.1
2005.96,-809.49,23.66
2006.04,-830.79,20.52
2006.12,-781.02,20.65
2006.2,-761.12,20.38
2006.29,-790.35,20.77
2006.37,-780.28,20.53
2006.45,-791.29,22.31
2006.54,-873.37,22.17
2006.62,-1000.49,20.64
2006.71,-1059.81,21.89
2006.79,-1047.98,21.51
2006.87,-1076.69,20.97
2006.96,-1087.58,21.52
2007.04,-1054.35,22.2
2007.12,-1008.39,21.6
2007.2,-1017.65,20.92
2007.29,-1007.65,21.45
2007.37,-996.92,21.08
2007.45,-1014.83,21.34
2007.54,-1143.83,21.13
2007.62,-1339.19,22.65
2007.71,-1401.86,22.21
2007.79,-1425.07,22.93
2007.87,-1404.1,23.76
2007.96,-1345.19,22.52
2008.04,-1304.29,22.61
2008.12,-1322.83,24.23
2008.21,-1273.0,22.61
2008.29,-1294.34,24.49
2008.37,-1306.3,23.37
2008.46,-1309.5,22.35
2008.54,-1455.78,23.18
2008.62,-1617.49,22.62
2008.71,-1680.71,22.45
2008.79,-1668.77,22.3
2008.87,-1597.22,23.83
